id,url,file_name,title,description,date,license,creator
28,https://www.flickr.com/photos/46201037@N00/46201552,46201552_8cd08b761d_o,Night Visitors - Baby Racoons,,31.05.2002,https://creativecommons.org/licenses/by-nc-nd/2.0/,Consensual Media
29,https://www.flickr.com/photos/8487221@N05/3608365747,3608365747_a4ee1ab03b_o,stand up racoon,[no description provided],06.07.2009,https://creativecommons.org/licenses/by-nc-sa/2.0/,christopher charles 
30,https://www.flickr.com/photos/35449162@N00/2285041545,2285041545_ebcb35e419_o.jpg,Racoon,[no description provided],17.02.2008,https://creativecommons.org/licenses/by-nc/2.0/,Remmelt Koenes 
31,https://www.flickr.com/photos/42163411@N00/7525174,7525174_1bb9dfed82_o,Racoon,"""Ding Darling"" Wildlife Refuge",27.03.2005,https://creativecommons.org/licenses/by-nc-sa/2.0/,Buntekuh 
32,https://www.flickr.com/photos/57256462@N07/15352462844,15352462844_bfc6a54aca_o,racoon,"A pic from a raccon, I've seen at Wildpark Hanau.",31.07.2014,https://creativecommons.org/licenses/by-nc-nd/2.0/,Cloudtail the Snow Leopard 
33,https://www.flickr.com/photos/80288388@N00/8252890017,8252890017_6db7c2aa8a_o,Racoon in a Tree,"A racoon in a tree - one of many pictures where I realized that I haven't developed them yet. This one was particularly cute, so I couldn't resist. This was shot at the Dählhölzli Tierpark zoo in Bern, Switzerland.",15.09.2012,https://creativecommons.org/licenses/by-nc-nd/2.0/,Guido Gloor Modjib 
34,https://www.flickr.com/photos/19731486@N07/4086055914,4086055914_5885a99558_o,Racoon kits,[no description provided],08.11.2009,https://creativecommons.org/licenses/by/2.0/,Brian Gratwicke 
35,https://www.flickr.com/photos/19752067@N00/9372095656,9372095656_b6010051af_o,Racquey Racoon,"One of my neighbor's ""cats"" I am taking care of.",26.07.2013,https://creativecommons.org/licenses/by-nc/2.0/,Bruce Fingerhood 
36,https://www.flickr.com/photos/8070463@N03/48909893358,48909893358_9dfb764bbe_o,A cool racoon on the tree,I like this last picture of a raccoon on a tree!,13.04.2019,https://creativecommons.org/licenses/by-nd/2.0/,Tambako The Jaguar 
37,https://www.flickr.com/photos/55080179@N08/7197730150,7197730150_ddd84ceab2_o.jpg,Racoon,FWR Dickson Wilderness Area/Bannister Lake/Wrigley Lake,09.11.2011,https://creativecommons.org/licenses/by-nc-nd/2.0/,Grand River Conservation Authority
38,https://www.flickr.com/photos/56295925@N07/9257893528,9257893528_ed9f6be3a1_o,"MAM Racoon EVER (2), NPSPhoto, 1998",,29.04.2012,https://creativecommons.org/publicdomain/mark/1.0/,Everglades National Park 
39,https://www.flickr.com/photos/66358983@N07/15405716557,15405716557_be89fa24b5_o,Racoon,[no description provided],19.10.2014,https://creativecommons.org/licenses/by-nd/2.0/,Brian Evans 
40,https://www.flickr.com/photos/56295925@N07/9257893530,9257893530_3ce17ca51b_o,"MAM Racoon EVER (1), NPSPhoto, 1998",,29.04.2012,https://creativecommons.org/publicdomain/mark/1.0/,Everglades National Park 
41,https://www.metmuseum.org/art/collection/search/409177,DP835140,Raccoon,from the Quadrupeds series (N21) for Allen & Ginter Cigarettes,1890,OA,The MET
